"estimate","rmse_median","rmse_q25","rmse_q75","error_vs_truth_pct"
"independent-test (truth)",0.682976474403608,0.647403454522148,0.752448155749704,0
"random 5-fold CV",0.39347601738269,0.372342709936363,0.415425961150188,-42.4
"BORG spatial-block CV",0.596089078056051,0.566498203822517,0.657868791161705,-12.7
