"scheme","is_spatial","rmse_median","rmse_q25","rmse_q75","n_ok","optimism_pct"
"random k-fold",FALSE,0.324674455538348,0.3202693265819,0.330833400977278,20,10.2
"BORG spatial_block",TRUE,0.36149253176356,0.360686259074744,0.363223701880471,20,0
"blockCV cv_spatial",TRUE,0.373382703438995,0.37115957003835,0.379709214990288,20,-3.3
"CAST knndm",TRUE,0.328491568705682,0.320516572998344,0.329765842285882,20,9.1
"spatialsample block",TRUE,0.348738602619486,0.342681267906631,0.353574718556888,20,3.5
"sperrorest kmeans",TRUE,0.395392797379179,0.35506075031042,0.40125981146569,20,-9.4
